Brawler,Pick Rate
CROW,0.05309911307894945
MAX,0.04406264663931722
MEG,0.041697833571053576
BROCK,0.041656019587528285
PIERCE,0.040503812041498055
STARR NOVA,0.03877550072245271
8-BIT,0.035644097956225404
COLETTE,0.03399012260789169
SURGE,0.03076579987827485
GRIFF,0.029650760317600434
MEEPLE,0.029209390491500148
COLT,0.0278016530461487
DAMIAN,0.027179089291438818
EDGAR,0.026928205390287077
BYRON,0.025385733998020805
OTIS,0.023202114858366745
RICO,0.02169216545328681
CHESTER,0.019169388447260953
LUMI,0.01885810656990601
PIPER,0.018384214756619385
MORTIS,0.0174828911117409
SHADE,0.013868304535888012
GENE,0.013710340598125804
LEON,0.012832246944094704
STU,0.012167869205859532
KAZE,0.011424509498743258
MINA,0.010992431668981922
ANGELO,0.010983139672642969
NAJIA,0.010746193765999655
PENNY,0.010681149791626982
BOLT,0.010137568005798205
RUFFS,0.010132922007628728
KENJI,0.010067878033256055
EMZ,0.009803056137595882
CORDELIUS,0.009501066256579895
MICO,0.008980714461598501
CHUCK,0.008478946659295016
MELODIE,0.008116558802075832
CARL,0.0074568270620101375
MANDY,0.007159483179163627
BELLE,0.006978289250554035
KIT,0.006852847299978163
NANI,0.006750635340249676
BULL,0.006727405349402292
BO,0.006606609396995897
ALLI,0.006188469561742993
CHARLIE,0.0057099317502868905
SPROUT,0.0055751978033720655
SPIKE,0.005561259808863636
FANG,0.005273207922356079
GUS,0.004687812153002012
NITA,0.004655290165815675
GRAY,0.004399760266494455
LOU,0.004116354378156375
SIRIUS,0.003935160449546783
BIBI,0.0035960025831749823
LILY,0.003335826685684286
JAE-YONG,0.0030756507881935895
FINX,0.0028712268687366136
TARA,0.0028061828943639396
GIGI,0.0026435729584322544
MOE,0.0023973350554499884
BARLEY,0.002388043059111035
AMBER,0.002383397060941558
PEARL,0.002360167070094174
ASH,0.0023044150920604536
BUSTER,0.0022904770975520237
BERRY,0.0021464511542982454
LOLA,0.0021092831689424317
SQUEAK,0.0019745492220276067
TRUNK,0.0019373812366717928
JUJU,0.0019141512458244092
WILLOW,0.0018444612732822583
TICK,0.001746895311723247
DYNAMIKE,0.0017376033153842937
BEA,0.0015889313739610386
BUZZ,0.0013705694599956328
EVE,0.0013426934709787725
R-T,0.001282295494775575
FRANK,0.0012683575002671449
POCO,0.0012544195057587147
GALE,0.001249773507589238
ZIGGY,0.0012451275094197613
DARRYL,0.0012404815112502846
SHELLY,0.0011893755313860405
GLOWY,0.0010453495881322622
SANDY,0.0010128276009459252
JANET,0.0009756596155901115
LARRY & LAWRIE,0.0009710136174206348
HANK,0.0009617216210816813
CLANCY,0.0008409256686752865
BONNIE,0.0007712356961331357
ROSA,0.0007572977016247056
DRACO,0.0007247757144383685
GROM,0.0007201297162688918
DOUG,0.0006736697345741246
JESSIE,0.0006365017492183108
OLLIE,0.0005761037730151134
MAISIE,0.00045066182243924197
EL PRIMO,0.00042278583342238163
JACKY,0.00037632585172761443
MR. P,0.0003577418590497075
PAM,0.0002787598901686033
SAM,0.0001533179395927318
