Brawler,WinRate,PickRate,Score
Bolt,0.623800,0.050300,138.0300
Mortis,0.556300,0.051200,135.7800
Byron,0.525200,0.042900,117.3100
Pierce,0.528100,0.039900,111.4900
Piper,0.467600,0.039000,106.0600
Colette,0.551700,0.034600,102.3000
Leon,0.502700,0.034300,98.7600
Edgar,0.442500,0.036000,98.5500
Colt,0.446100,0.034800,96.3700
Najia,0.556500,0.030100,93.5900
Kit,0.538700,0.029800,91.9200
Brock,0.475500,0.029300,87.1300
Mina,0.544200,0.025400,83.4500
Gene,0.461200,0.025000,77.6700
Meeple,0.465100,0.024300,76.5100
Bo,0.505300,0.020900,72.1200
Bea,0.446400,0.022000,70.7800
Belle,0.518800,0.019400,69.9300
Damian,0.561700,0.018000,69.7000
Crow,0.469100,0.020600,69.3500
Nani,0.428100,0.016900,59.4900
Max,0.532400,0.013100,58.1400
Starr Nova,0.512000,0.013500,57.7200
Fang,0.424200,0.015900,57.2500
Gus,0.450100,0.014000,55.0100
Charlie,0.579200,0.009300,53.3500
Mandy,0.423200,0.013600,52.5900
Jae-yong,0.572100,0.008700,51.7300
Tara,0.613100,0.007400,51.5900
Angelo,0.466300,0.011400,50.7800
Shelly,0.473000,0.010900,50.1800
Shade,0.540800,0.008700,49.8500
Eve,0.693200,0.003600,48.7900
Penny,0.553000,0.007800,48.7800
Gray,0.607300,0.006100,48.6400
Finx,0.689700,0.002900,47.1800
Doug,0.538900,0.007300,46.9300
Kaze,0.458800,0.009600,46.7300
Surge,0.467300,0.009000,46.0400
Meg,0.568500,0.005900,45.9100
Alli,0.519700,0.007200,45.5800
Glowy,0.672100,0.002500,45.3300
Otis,0.428000,0.009500,44.6800
8-Bit,0.505700,0.007100,44.5400
Nori,0.551100,0.005500,44.0700
Ruffs,0.559500,0.005100,43.7700
Bibi,0.492600,0.006800,43.1600
Rosa,0.562200,0.004700,43.1300
Buster,0.648900,0.001900,42.7300
Trunk,0.623800,0.002000,41.4300
Melodie,0.625000,0.001900,41.3000
Bull,0.380200,0.008800,40.4100
Maisie,0.616400,0.001500,39.9800
Lou,0.631600,0.000800,39.5000
Gigi,0.608100,0.001500,39.4900
Stu,0.514200,0.004300,39.4500
Sprout,0.539900,0.003300,38.9900
Ollie,0.596200,0.001100,37.9700
Chester,0.435300,0.005200,36.5200
Griff,0.438200,0.005100,36.4900
Mico,0.508100,0.002500,35.4900
Juju,0.539500,0.001500,35.3700
Kenji,0.402200,0.005500,35.1300
Squeak,0.468200,0.003500,35.0900
Tick,0.338800,0.007300,34.9300
Lily,0.413700,0.005000,34.8200
R-T,0.520000,0.001500,34.2000
Rico,0.395300,0.005200,34.1200
Lumi,0.480300,0.002600,34.0200
Sirius,0.463200,0.002700,33.1900
Emz,0.386400,0.004400,31.9800
Cordelius,0.377800,0.004500,31.6700
Frank,0.473700,0.001500,31.4200
Grom,0.359500,0.004900,31.3700
Carl,0.439000,0.002500,31.3400
Lola,0.500000,0.000600,31.2000
Mr. P,0.427500,0.002600,30.8500
Spike,0.348500,0.004900,30.7100
Ash,0.500000,0.000300,30.6000
Buzz,0.340200,0.004900,30.2100
Ziggy,0.447400,0.001500,29.8400
Chuck,0.457100,0.000700,28.8300
Jacky,0.452400,0.000800,28.7400
Draco,0.444400,0.000200,27.0600
Dynamike,0.339900,0.003100,26.5900
El Primo,0.351900,0.002200,25.5100
Larry & Lawrie,0.416700,0.000200,25.4000
Poco,0.357900,0.001900,25.2700
Hank,0.384600,0.000800,24.6800
Moe,0.400000,0.000100,24.2000
Gale,0.363600,0.000700,23.2200
Pearl,0.328600,0.001400,22.5200
Berry,0.343800,0.000600,21.8300
Barley,0.333300,0.000900,21.8000
Bonnie,0.313400,0.001400,21.6000
Pam,0.333300,0.000300,20.6000
Sandy,0.300000,0.000400,18.8000
Janet,0.282600,0.000900,18.7600
Amber,0.294100,0.000300,18.2500
Sam,0.272700,0.000400,17.1600
Clancy,0.227300,0.000400,14.4400
Jessie,0.217400,0.000500,14.0400
Nita,0.206900,0.000600,13.6100
Darryl,0.175400,0.001200,12.9200
Willow,0.088900,0.000900,7.1300
