Brawler,WinRate,PickRate,Score
Colette,0.594900,0.063800,163.2900
Mortis,0.302800,0.053100,124.3700
Chester,0.602600,0.039900,115.9600
Bolt,0.614500,0.036700,110.2700
Surge,0.601400,0.036500,109.0800
Crow,0.557700,0.037200,107.8600
Edgar,0.290900,0.043200,103.8500
Colt,0.386700,0.039400,102.0000
Damian,0.482200,0.033900,96.7300
Lumi,0.684300,0.024400,89.8600
Meg,0.711700,0.021000,84.7000
Bea,0.637000,0.019800,77.8200
Starr Nova,0.629000,0.020000,77.7400
Pierce,0.601500,0.020500,77.0900
Griff,0.508300,0.022400,75.3000
Bibi,0.263500,0.028700,73.2100
Otis,0.613000,0.018200,73.1800
Mina,0.495400,0.021700,73.1200
Fang,0.439900,0.021400,69.1900
Max,0.677400,0.014200,69.0400
8-Bit,0.716600,0.011700,66.4000
Rico,0.414500,0.020500,65.8700
Emz,0.503000,0.016600,63.3800
Brock,0.676400,0.010600,61.7800
Stu,0.469600,0.015100,58.3800
Meeple,0.582200,0.011500,57.9300
Shade,0.494900,0.012300,54.2900
Bull,0.353100,0.016300,53.7900
Byron,0.642800,0.006400,51.3700
Belle,0.724200,0.003800,51.0500
Nori,0.725600,0.003500,50.5400
Charlie,0.682800,0.004100,49.1700
Spike,0.486600,0.009700,48.6000
Najia,0.535500,0.008100,48.3300
Sandy,0.619500,0.004100,45.3700
Tara,0.599000,0.004700,45.3400
Willow,0.636900,0.003100,44.4100
Moe,0.589600,0.004400,44.1800
Leon,0.455800,0.008300,43.9500
Bo,0.521400,0.006100,43.4800
Maisie,0.536800,0.005200,42.6100
Hank,0.616500,0.002600,42.1900
Amber,0.550300,0.004500,42.0200
Ollie,0.630500,0.001900,41.6300
Mandy,0.397300,0.008700,41.2400
Penny,0.603800,0.002500,41.2300
Sirius,0.393500,0.008600,40.8100
Kenji,0.408700,0.008100,40.7200
Ziggy,0.622100,0.001300,39.9300
Gale,0.477800,0.005600,39.8700
Nita,0.469600,0.005700,39.5800
Juju,0.628100,0.000600,38.8900
R-T,0.615900,0.000900,38.7500
Finx,0.539800,0.003100,38.5900
Carl,0.492200,0.004500,38.5300
Lou,0.544500,0.002900,38.4700
Buster,0.557000,0.002500,38.4200
Cordelius,0.379100,0.007800,38.3500
Gus,0.554100,0.002500,38.2500
Ash,0.579500,0.001700,38.1700
Ruffs,0.497800,0.004000,37.8700
Gigi,0.580800,0.001500,37.8500
Pearl,0.577400,0.001600,37.8400
Jae-yong,0.577400,0.001500,37.6400
Bonnie,0.588500,0.001100,37.5100
Chuck,0.600900,0.000700,37.4500
Eve,0.606300,0.000400,37.1800
Clancy,0.420800,0.005900,37.0500
Lola,0.547700,0.002000,36.8600
Melodie,0.424400,0.005700,36.8600
Trunk,0.560400,0.001600,36.8200
Frank,0.361400,0.006800,35.2800
Larry & Lawrie,0.557000,0.000900,35.2200
Shelly,0.264400,0.009600,35.0600
Rosa,0.526500,0.001700,34.9900
Piper,0.462800,0.003600,34.9700
Pam,0.536500,0.001100,34.3900
Kaze,0.483200,0.002500,33.9900
Angelo,0.530900,0.000600,33.0500
Dynamike,0.308400,0.007000,32.5000
Alli,0.458400,0.002500,32.5000
Draco,0.485000,0.001400,31.9000
Gray,0.470700,0.001400,31.0400
Barley,0.456600,0.001800,31.0000
Darryl,0.336800,0.005200,30.6100
Gene,0.473500,0.000900,30.2100
Glowy,0.464100,0.001100,30.0500
Buzz,0.231100,0.007800,29.4700
Berry,0.439700,0.001400,29.1800
Sam,0.440700,0.001100,28.6400
Mr. P,0.456500,0.000400,28.1900
Poco,0.318600,0.004500,28.1200
Squeak,0.402600,0.001600,27.3600
Janet,0.404600,0.001400,27.0800
Jessie,0.385500,0.001900,26.9300
Grom,0.404300,0.001100,26.4600
Nani,0.410800,0.000900,26.4500
El Primo,0.277500,0.004800,26.2500
Tick,0.205600,0.006200,24.7400
Doug,0.332900,0.002300,24.5700
Kit,0.221200,0.005500,24.2700
Jacky,0.328900,0.002200,24.1300
Sprout,0.361300,0.000500,22.6800
Lily,0.228400,0.003200,20.1000
Mico,0.298200,0.001100,20.0900
