Brawler,WinRate,PickRate,Score
Crow,0.563000,0.063700,161.1800
Chester,0.491800,0.058500,146.5100
Mortis,0.535100,0.051700,135.5100
Colette,0.583700,0.048100,131.2200
Otis,0.526100,0.042600,116.7700
Bolt,0.579500,0.040100,114.9700
Edgar,0.433600,0.043300,112.6200
Damian,0.604700,0.032600,101.4800
Meeple,0.434200,0.031500,89.0500
Griff,0.450200,0.026000,79.0100
Surge,0.584100,0.021900,78.8500
Bo,0.454100,0.025200,77.6500
Emz,0.389300,0.026300,75.9600
Mina,0.518800,0.021000,73.1300
Rico,0.482500,0.021700,72.3500
Starr Nova,0.577300,0.018600,71.8400
8-Bit,0.668000,0.014100,68.2800
Tara,0.521500,0.018300,67.8900
Meg,0.582300,0.016300,67.5400
Kenji,0.553400,0.016300,65.8000
Ruffs,0.473500,0.018600,65.6100
Pierce,0.517100,0.015700,62.4300
Kit,0.490000,0.015500,60.4000
Alli,0.523300,0.013900,59.2000
Leon,0.486500,0.013600,56.3900
Bull,0.486200,0.012300,53.7700
Finx,0.662200,0.006300,52.3300
Shade,0.493700,0.011100,51.8200
Lumi,0.480400,0.011500,51.8200
Janet,0.537800,0.009700,51.6700
Stu,0.475500,0.011500,51.5300
Max,0.464400,0.010700,49.2600
Mr. P,0.769200,0.000700,47.5500
Charlie,0.480500,0.008700,46.2300
Spike,0.424600,0.010100,45.6800
Sandy,0.519800,0.007100,45.3900
Angelo,0.710500,0.001100,44.8300
Brock,0.512200,0.006900,44.5300
Moe,0.547300,0.005700,44.2400
Bibi,0.380700,0.010500,43.8400
Nita,0.443000,0.008400,43.3800
Ash,0.621400,0.002900,43.0800
Fang,0.437900,0.008200,42.6700
Najia,0.419400,0.008700,42.5600
Willow,0.666700,0.000300,40.6000
Nori,0.482900,0.005800,40.5700
Trunk,0.480600,0.005800,40.4400
Penny,0.511600,0.004800,40.3000
Larry & Lawrie,0.625000,0.000700,38.9000
Gus,0.518200,0.003900,38.8900
Lola,0.600000,0.001300,38.6000
Byron,0.490700,0.004500,38.4400
Piper,0.606100,0.000900,38.1700
Kaze,0.595200,0.001200,38.1100
Gale,0.503700,0.003800,37.8200
Lily,0.369600,0.007800,37.7800
Gene,0.530600,0.002800,37.4400
Jae-yong,0.525600,0.002200,35.9400
Melodie,0.558800,0.001000,35.5300
Sirius,0.413000,0.005200,35.1800
Pearl,0.526300,0.001600,34.7800
Cordelius,0.403200,0.005200,34.5900
Rosa,0.488600,0.002500,34.3200
Buzz,0.487200,0.002200,33.6300
Colt,0.355100,0.006000,33.3100
Amber,0.402500,0.004500,33.1500
Darryl,0.538500,0.000400,33.1100
Clancy,0.350700,0.005900,32.8400
Carl,0.397400,0.004400,32.6400
Shelly,0.388500,0.003900,31.1100
Buster,0.450700,0.002000,31.0400
Squeak,0.421100,0.002700,30.6700
Sprout,0.500000,0.000200,30.4000
Poco,0.367600,0.003800,29.6600
Chuck,0.454500,0.000600,28.4700
Lou,0.383700,0.002400,27.8200
Glowy,0.440000,0.000700,27.8000
Doug,0.400000,0.001700,27.4000
Draco,0.428600,0.000800,27.3200
Frank,0.351900,0.003000,27.1100
Bea,0.350000,0.002800,26.6000
Sam,0.400000,0.000700,25.4000
Dynamike,0.351400,0.002100,25.2800
Eve,0.382400,0.001000,24.9400
Gigi,0.343800,0.000900,22.4300
El Primo,0.308800,0.001900,22.3300
Nani,0.333300,0.000700,21.4000
Grom,0.333300,0.000300,20.6000
Tick,0.232800,0.003300,20.5700
Ziggy,0.333300,0.000200,20.4000
Maisie,0.295500,0.001200,20.1300
Ollie,0.265300,0.001400,18.7200
Jessie,0.234600,0.002300,18.6800
Jacky,0.258100,0.000900,17.2900
Berry,0.260900,0.000600,16.8500
Mandy,0.233300,0.000800,15.6000
Pam,0.196100,0.001400,14.5700
Hank,0.190500,0.000600,12.6300
Juju,0.200000,0.000100,12.2000
Mico,0.162200,0.001000,11.7300
Barley,0.142900,0.000400,9.3700
Gray,0.133300,0.000400,8.8000
Belle,0.074100,0.000800,6.0500
R-T,0.076900,0.000400,5.4100
Bonnie,0.000000,0.000300,0.6000
