Brawler,WinRate,PickRate,Score
Colt,0.536700,0.098500,229.2000
Edgar,0.509300,0.063500,157.5600
Colette,0.506600,0.057500,145.4000
Crow,0.507200,0.056500,143.4300
Pierce,0.509300,0.039500,109.5600
Kaze,0.548700,0.036500,105.9200
Chuck,0.513700,0.035400,101.6200
Mico,0.469900,0.036500,101.1900
Melodie,0.490300,0.032500,94.4200
Bull,0.549600,0.027200,87.3800
Otis,0.521600,0.027300,85.9000
Brock,0.410800,0.025600,75.8500
Angelo,0.483000,0.022300,73.5800
Cordelius,0.532200,0.020700,73.3300
Penny,0.532200,0.020300,72.5300
Rico,0.506500,0.020200,70.7900
Griff,0.455900,0.021600,70.5500
8-Bit,0.580600,0.017000,68.8400
Lumi,0.548100,0.016300,65.4900
Shade,0.545000,0.016000,64.7000
Najia,0.389200,0.019800,62.9500
Starr Nova,0.634500,0.010300,58.6700
Bibi,0.523700,0.012700,56.8200
Surge,0.570400,0.011100,56.4200
Nita,0.454900,0.014200,55.6900
Trunk,0.831200,0.002000,53.8700
Meg,0.551000,0.010200,53.4600
Lola,0.576200,0.009400,53.3700
Piper,0.538700,0.010500,53.3200
Berry,0.571000,0.008700,51.6600
El Primo,0.721200,0.002700,48.6700
Nani,0.475500,0.009600,47.7300
Kit,0.590900,0.005800,47.0500
Carl,0.463400,0.009600,47.0000
Bonnie,0.708900,0.002100,46.7300
Lily,0.520600,0.007000,45.2400
Alli,0.476500,0.008300,45.1900
Eve,0.519500,0.006700,44.5700
Bolt,0.482300,0.007400,43.7400
Finx,0.573900,0.004600,43.6300
Byron,0.395200,0.009900,43.5100
Janet,0.714300,0.000200,43.2600
Emz,0.465400,0.006800,41.5200
Ruffs,0.566900,0.003300,40.6100
Jessie,0.384400,0.008700,40.4600
Gigi,0.600000,0.002200,40.4000
Gene,0.666700,0.000100,40.2000
Belle,0.448800,0.006600,40.1300
Amber,0.421800,0.007200,39.7100
Sirius,0.512000,0.004300,39.3200
Max,0.447200,0.005200,37.2300
Charlie,0.413800,0.006100,37.0300
Fang,0.524400,0.002100,35.6600
Mandy,0.383000,0.006100,35.1800
Tara,0.560000,0.000700,35.0000
Jae-yong,0.560000,0.000700,35.0000
Mr. P,0.555600,0.000200,33.7400
Lou,0.535700,0.000700,33.5400
Moe,0.545500,0.000300,33.3300
Sam,0.526300,0.000500,32.5800
Mina,0.458300,0.002500,32.5000
Nori,0.523800,0.000500,32.4300
Bo,0.374300,0.004900,32.2600
Spike,0.339500,0.005600,31.5700
Buzz,0.381300,0.004200,31.2800
Barley,0.430100,0.002400,30.6100
Pearl,0.500000,0.000300,30.6000
Darryl,0.414100,0.002600,30.0500
Mortis,0.375000,0.003600,29.7000
Bea,0.400000,0.002700,29.4000
Meeple,0.430800,0.001700,29.2500
Glowy,0.457100,0.000900,29.2300
Chester,0.355100,0.003600,28.5100
Gus,0.444400,0.000500,27.6600
Sandy,0.421100,0.000500,26.2700
Kenji,0.355600,0.002400,26.1400
R-T,0.387800,0.001300,25.8700
Maisie,0.381000,0.001100,25.0600
Dynamike,0.293700,0.003700,25.0200
Ash,0.391300,0.000600,24.6800
Poco,0.375000,0.000400,23.3000
Gale,0.375000,0.000400,23.3000
Squeak,0.320000,0.001300,21.8000
Jacky,0.333300,0.000200,20.4000
Ziggy,0.333300,0.000200,20.4000
Damian,0.305600,0.000900,20.1400
Clancy,0.230800,0.002700,19.2500
Shelly,0.261900,0.001100,17.9100
Grom,0.257100,0.000900,17.2300
Larry & Lawrie,0.257100,0.000900,17.2300
Doug,0.224500,0.001300,16.0700
Juju,0.250000,0.000100,15.2000
Hank,0.186000,0.001100,13.3600
Leon,0.173100,0.001400,13.1900
Pam,0.200000,0.000300,12.6000
Frank,0.155600,0.001200,11.7400
Stu,0.173900,0.000600,11.6300
Draco,0.153800,0.000300,9.8300
Tick,0.114300,0.000900,8.6600
Sprout,0.076900,0.000300,5.2100
Gray,0.058800,0.000400,4.3300
Willow,0.020000,0.001300,3.8000
Rosa,0.000000,0.000200,0.4000
Buster,0.000000,0.000100,0.2000
Ollie,0.000000,0.000100,0.2000
