Brawler,WinRate,PickRate,Score
Crow,0.538800,0.048700,129.7300
Chester,0.508700,0.045600,121.7200
Edgar,0.484200,0.045300,119.6500
Colette,0.517400,0.042000,115.0400
Mortis,0.518300,0.039000,109.1000
Meeple,0.518300,0.035000,101.1000
Emz,0.511000,0.030500,91.6600
Damian,0.580100,0.028100,91.0100
Mina,0.517800,0.028300,87.6700
Lumi,0.529400,0.027900,87.5600
Kenji,0.498400,0.028000,85.9000
Pierce,0.431600,0.030000,85.9000
Bo,0.456600,0.028400,84.2000
Griff,0.485000,0.027400,83.9000
Otis,0.530800,0.024700,81.2500
Bolt,0.684700,0.019100,79.2800
Surge,0.556800,0.019300,72.0100
Meg,0.599600,0.015900,67.7800
Finx,0.498300,0.018400,66.7000
Stu,0.570600,0.016200,66.6400
Bibi,0.511200,0.014900,60.4700
Starr Nova,0.537200,0.013500,59.2300
Poco,0.558100,0.011800,57.0900
8-Bit,0.534500,0.012400,56.8700
Shade,0.486500,0.013500,56.1900
Penny,0.486400,0.013400,55.9800
Najia,0.431600,0.014500,54.9000
Bea,0.638400,0.008200,54.7000
Spike,0.507700,0.011900,54.2600
Fang,0.429500,0.013600,52.9700
Leon,0.530400,0.010500,52.8200
Max,0.467900,0.011400,50.8700
Juju,0.553100,0.008300,49.7900
Sirius,0.480200,0.010000,48.8100
Tick,0.405500,0.012100,48.5300
Kit,0.610200,0.005400,47.4100
Nita,0.566500,0.006200,46.3900
Brock,0.511900,0.007700,46.1100
Cordelius,0.507900,0.007700,45.8700
Mico,0.617600,0.004100,45.2600
Pam,0.656300,0.002900,45.1800
Alli,0.548800,0.005000,42.9300
Amber,0.537100,0.005300,42.8300
Lou,0.388000,0.009600,42.4800
Frank,0.490600,0.006400,42.2400
Ruffs,0.419600,0.007800,40.7800
Sandy,0.527800,0.004400,40.4700
Chuck,0.537900,0.004000,40.2700
Dynamike,0.431000,0.007100,40.0600
Lola,0.640000,0.000800,40.0000
Bull,0.439500,0.006800,39.9700
Colt,0.422600,0.007300,39.9600
Gray,0.536600,0.003700,39.6000
Nori,0.557900,0.002900,39.2700
Berry,0.468600,0.005300,38.7200
Bonnie,0.625000,0.000200,37.9000
Draco,0.482300,0.004300,37.5400
Gus,0.581400,0.001300,37.4800
Gale,0.513800,0.003300,37.4300
R-T,0.568600,0.001600,37.3200
Doug,0.454500,0.005000,37.2700
Byron,0.401900,0.006400,36.9100
Ash,0.560000,0.001500,36.6000
Charlie,0.397100,0.006200,36.2300
Hank,0.512200,0.002500,35.7300
Barley,0.373200,0.006400,35.1900
Glowy,0.493200,0.002200,33.9900
Larry & Lawrie,0.525000,0.001200,33.9000
Grom,0.485300,0.002100,33.3200
Jessie,0.322600,0.006600,32.5600
Trunk,0.389300,0.004500,32.3600
Nani,0.500000,0.000900,31.8000
Moe,0.479200,0.001500,31.7500
Tara,0.461500,0.002000,31.6900
Mandy,0.478300,0.001400,31.5000
Angelo,0.500000,0.000300,30.6000
Willow,0.430600,0.002200,30.2400
Clancy,0.331300,0.005100,30.0800
Jae-yong,0.431000,0.001800,29.4600
Rosa,0.426200,0.001900,29.3700
Mr. P,0.437500,0.001500,29.2500
Belle,0.414300,0.002100,29.0600
Jacky,0.425900,0.001600,28.7500
Kaze,0.405800,0.002100,28.5500
Buzz,0.383600,0.002200,27.4200
Lily,0.340200,0.003000,26.4100
Melodie,0.372900,0.001800,25.9700
Rico,0.313000,0.003500,25.7800
Shelly,0.316800,0.003100,25.2100
Piper,0.365400,0.001600,25.1200
Ziggy,0.368400,0.001200,24.5000
Buster,0.352900,0.001600,24.3700
Darryl,0.363600,0.001000,23.8200
Carl,0.320000,0.002300,23.8000
El Primo,0.312500,0.002400,23.5500
Maisie,0.333300,0.001300,22.6000
Sam,0.363600,0.000300,22.4200
Squeak,0.245800,0.003600,21.9500
Gene,0.333300,0.000200,20.4000
Ollie,0.333300,0.000100,20.2000
Gigi,0.290300,0.000900,19.2200
Pearl,0.258100,0.000900,17.2900
Janet,0.250000,0.000500,16.0000
Sprout,0.217400,0.000700,14.4400
Eve,0.133300,0.000500,9.0000
