Brawler,WinRate,PickRate,Score
Bolt,0.651100,0.056100,151.2700
Kit,0.566700,0.053200,140.4000
Colette,0.591000,0.047700,130.8600
Edgar,0.333900,0.047100,114.2300
Brock,0.557300,0.035000,103.4400
Pierce,0.532600,0.031400,94.7600
Damian,0.602000,0.026700,89.5200
Mortis,0.409500,0.031900,88.3700
Najia,0.554800,0.024900,83.0900
Byron,0.497600,0.025900,81.6600
Crow,0.467000,0.023600,75.2200
Leon,0.409500,0.025200,74.9700
Gray,0.680500,0.017000,74.8300
Starr Nova,0.614500,0.018600,74.0700
Colt,0.408400,0.024300,73.1000
Gene,0.520300,0.019400,70.0200
Piper,0.382300,0.023500,69.9400
Rosa,0.764200,0.011200,68.2500
Mina,0.466700,0.019900,67.8000
Angelo,0.608900,0.014800,66.1300
Otis,0.619200,0.013200,63.5500
Bo,0.632400,0.012000,61.9400
Mandy,0.427900,0.017400,60.4700
Meeple,0.468800,0.014200,56.5300
Charlie,0.610200,0.009400,55.4100
Meg,0.632400,0.008300,54.5400
8-Bit,0.543200,0.009800,52.1900
Nani,0.544000,0.009200,51.0400
Sprout,0.631700,0.006100,50.1000
Rico,0.376100,0.013600,49.7700
Ash,0.597100,0.006700,49.2300
Fang,0.458400,0.010700,48.9000
Lumi,0.665900,0.003900,47.7500
Gus,0.473400,0.009600,47.6000
Belle,0.495100,0.008900,47.5100
Gigi,0.669400,0.003500,47.1600
Squeak,0.554900,0.006800,46.8900
Surge,0.432700,0.009900,45.7600
Juju,0.712200,0.001300,45.3300
Max,0.508000,0.007200,44.8800
Sirius,0.410300,0.008800,42.2200
Frank,0.454700,0.007300,41.8800
Bea,0.448000,0.007500,41.8800
Ruffs,0.504100,0.005800,41.8500
Mr. P,0.518300,0.005300,41.7000
Pearl,0.551100,0.004300,41.6700
Chester,0.426300,0.008000,41.5800
El Primo,0.407800,0.008400,41.2700
Jae-yong,0.443500,0.007200,41.0100
Maisie,0.558900,0.003500,40.5300
Ollie,0.582700,0.002600,40.1600
Spike,0.378800,0.008500,39.7300
Finx,0.502100,0.004600,39.3300
Nori,0.620700,0.000800,38.8400
Sam,0.605300,0.001100,38.5200
Tick,0.363800,0.008300,38.4300
Lily,0.397300,0.007200,38.2400
Buster,0.498800,0.004100,38.1300
Mico,0.437400,0.005800,37.8400
Ziggy,0.561000,0.002000,37.6600
Carl,0.463300,0.004700,37.2000
Griff,0.410500,0.006200,37.0300
R-T,0.559300,0.001700,36.9600
Alli,0.492200,0.003700,36.9300
Shade,0.504500,0.003200,36.6700
Glowy,0.501500,0.003200,36.4900
Doug,0.450100,0.004700,36.4100
Bull,0.382700,0.006700,36.3600
Cordelius,0.395400,0.006300,36.3200
Eve,0.500000,0.002800,35.6000
Lou,0.527900,0.001900,35.4700
Chuck,0.538500,0.001400,35.1100
Berry,0.502100,0.002300,34.7300
Poco,0.426700,0.004300,34.2000
Gale,0.465500,0.002600,33.1300
Emz,0.320000,0.006700,32.6000
Grom,0.435600,0.003100,32.3400
Sandy,0.504600,0.001000,32.2800
Darryl,0.383400,0.004200,31.4000
Kaze,0.438500,0.002500,31.3100
Hank,0.452300,0.001900,30.9400
Kenji,0.393000,0.003600,30.7800
Moe,0.473200,0.001100,30.5900
Pam,0.473700,0.000700,29.8200
Shelly,0.279900,0.006400,29.5900
Jacky,0.459800,0.000800,29.1900
Bibi,0.254000,0.006600,28.4400
Bonnie,0.422800,0.001400,28.1700
Nita,0.391500,0.002300,28.0900
Tara,0.427400,0.001100,27.8400
Penny,0.377400,0.002500,27.6400
Draco,0.409100,0.001300,27.1500
Clancy,0.408300,0.001200,26.9000
Dynamike,0.277700,0.005000,26.6600
Willow,0.393300,0.001400,26.4000
Trunk,0.411000,0.000700,26.0600
Barley,0.362700,0.002000,25.7600
Janet,0.348400,0.002300,25.5000
Stu,0.245200,0.005100,24.9100
Buzz,0.294500,0.003100,23.8700
Melodie,0.306700,0.001600,21.6000
Larry & Lawrie,0.298700,0.000700,19.3200
Jessie,0.276800,0.001100,18.8100
Amber,0.260900,0.001300,18.2500
Lola,0.250000,0.001100,17.2000
