Brawler,Use Rate
BROCK,0.05751319542297696
BYRON,0.05744369817777533
MAX,0.057221755362454
PIERCE,0.05464535624753505
PIPER,0.04168937973449983
LEON,0.0392116218708348
MORTIS,0.03700029885539934
SURGE,0.033774971369031924
8-BIT,0.032896512393704135
MEEPLE,0.031384300624043876
GENE,0.030820045074913028
MEG,0.029619449985350394
STARR NOVA,0.027599201281784426
NAJIA,0.025266128749941153
CROW,0.025228879606110997
COLETTE,0.024771025546532027
NANI,0.024698596655751172
DAMIAN,0.023962408715885775
MANDY,0.01939249060709379
EDGAR,0.019072251439998442
MINA,0.018577493136069226
GUS,0.01751951398144889
BELLE,0.016202515317417027
BOLT,0.015068658277216752
KIT,0.014191578899808597
ANGELO,0.012985120519087514
FANG,0.012633495499320462
OTIS,0.011919036226689323
GRIFF,0.011304770252971698
SHADE,0.010746550444739256
KAZE,0.010017605393951946
COLT,0.009827738230262137
PENNY,0.00941851499735031
JAE-YONG,0.00871267821171689
GRAY,0.008553507101738966
SPROUT,0.007619346860405902
CHARLIE,0.0066036178920744
CARL,0.006521014466636235
KENJI,0.005798277606487283
RUFFS,0.005539085647335798
SPIKE,0.005412335088469303
LUMI,0.004620618332338585
TICK,0.0037325021715733505
BEA,0.003719395991336815
CORDELIUS,0.003541427859703859
LILY,0.0035378064151648163
PEARL,0.0034836571968191303
CHESTER,0.003454513190766834
SQUEAK,0.002967170225655658
BULL,0.002837660470949893
GIGI,0.0028221399943539954
RICO,0.0028071368669779617
GROM,0.0023679073793140674
STU,0.0022887529486749912
ZIGGY,0.002276681466878182
MR. P,0.0019642025380807826
ALLI,0.001894877742619108
SIRIUS,0.0018210692539186186
R-T,0.0016320643389285802
EMZ,0.0016251663493304035
MICO,0.001614129565973321
BONNIE,0.00147151363103102
BUSTER,0.001345452871124343
BO,0.001309238425733916
MELODIE,0.0012913036527786568
GLOWY,0.001279749520201711
LOU,0.001218184963037985
JUJU,0.0011355815375998204
BUZZ,0.0009908962057780665
BIBI,0.0009822737187803457
DOUG,0.0009507154163686879
DYNAMIKE,0.0009391612837917422
OLLIE,0.000878803874807697
BARLEY,0.0008298281486606433
SHELLY,0.0008025810897478457
FINX,0.0007963728991094868
LOLA,0.0007891300100314014
WILLOW,0.0007843014173126777
GALE,0.0007698156391565069
BERRY,0.0006853152665788438
HANK,0.0006277170534340693
EVE,0.0006104720794386278
TRUNK,0.0006102996296986734
JANET,0.0005815005231262862
ASH,0.0005201084157025145
POCO,0.000466648996316646
MOE,0.00044836932388147806
FRANK,0.0004256059582074953
DARRYL,0.00037973432737962103
EL PRIMO,0.0003731812372613533
CLANCY,0.0003228259131946642
MAISIE,0.0002709185414683854
LARRY & LAWRIE,0.0002510868213736277
DRACO,0.0002510868213736277
JESSIE,0.0002452235302151776
ROSA,0.00022728875725991848
CHUCK,0.00017934772955259122
TARA,0.00017089769229482491
JACKY,0.00010760863773155473
AMBER,0.00008967386477629561
SAM,0.00007173909182103649
PAM,0.00007173909182103649
NITA,0.000053804318865777365
