Brawler,Use Rate
GRIFF,0.061421271085241
CROW,0.056517158677275386
CHESTER,0.050524205827219074
RICO,0.04549676309873666
MEG,0.044504057948621834
MEEPLE,0.042667094396542316
OTIS,0.04220651107876962
STARR NOVA,0.039542264365470696
MAX,0.03930616994571734
LUMI,0.036425229087802526
DAMIAN,0.03091641703247156
COLETTE,0.03058903738952669
BROCK,0.02951110960220082
SHADE,0.028491209423545074
EDGAR,0.027992171988982028
8-BIT,0.025261756480124936
STU,0.02509408267357963
SURGE,0.024815376935220748
EMZ,0.02284676865899409
COLT,0.020096606441514925
PIERCE,0.019319209702077598
RUFFS,0.015320674422850476
KENJI,0.015026205960942396
MORTIS,0.014887979000587897
BULL,0.013120995012397121
MINA,0.010647633149111555
SPIKE,0.01020350542185725
NITA,0.009787265590113066
SIRIUS,0.009628079403940403
CORDELIUS,0.009140993924595981
WILLOW,0.009023206539832749
CARL,0.008285996084608758
BIBI,0.008072766274838848
ALLI,0.005984984879910565
NAJIA,0.005334556012578307
MOE,0.005195462968512314
DYNAMIKE,0.004609817162799834
TARA,0.00451073718620488
CHARLIE,0.004461197197907403
ASH,0.004284862554247153
FRANK,0.00420552928627427
BARLEY,0.004117015530959548
SHELLY,0.004031792893748504
BO,0.0035970188705783395
BOLT,0.003338579491068425
BYRON,0.003272237478767958
TRUNK,0.0031473482075704724
LOU,0.0031284675826598954
GALE,0.0031244835975870215
BUZZ,0.0031113191251723074
MAISIE,0.002668230698371797
BUSTER,0.002637917768469495
LARRY & LAWRIE,0.0025663792539000617
CLANCY,0.0022674071566922117
BEA,0.002257880235865774
HANK,0.0022228904539214017
SANDY,0.0021302194967915064
FANG,0.0020697668537292004
AMBER,0.0019885282015910306
GIGI,0.0019819459653836733
SQUEAK,0.0019272094748172303
LILY,0.0018655443145588326
LEON,0.0018071702724041132
ZIGGY,0.0016576842238001882
ROSA,0.0014181254692008506
KIT,0.0013500512894773946
JACKY,0.0012551285146976138
EL PRIMO,0.0012163279644226668
PEARL,0.0012045492259463437
MELODIE,0.0010988870131440327
JUJU,0.0010808724719449504
POCO,0.0009653369048316039
PENNY,0.000930520339629531
DOUG,0.0008487620372644642
JAE-YONG,0.0007794753403449161
BERRY,0.0007751449217874443
DRACO,0.0007749717050451455
TICK,0.0007510677946079014
SPROUT,0.0007385961891623827
KAZE,0.0007191959140249093
FINX,0.0007117475941060578
GUS,0.0006074711152421379
PIPER,0.0005944798595697227
OLLIE,0.0005875511898777679
JANET,0.0005759456681437436
GRAY,0.000555332875810178
GROM,0.0005224216947733927
MICO,0.0005044071535743102
JESSIE,0.0005030214196359192
DARRYL,0.0003422762827825676
BELLE,0.00028823265918532007
CHUCK,0.00028823265918532007
LOLA,0.0002702181179862376
PAM,0.0002522035767871551
GLOWY,0.0002347086858149692
R-T,0.00023211043468048613
MANDY,0.00021617449438899005
SAM,0.00016213087079174255
MR. P,0.00014411632959266004
GENE,0.00010808724719449503
BONNIE,0.00010808724719449503
EVE,0.000054043623597247514
NANI,0.00003602908239816501
