Brawler,Use Rate
CROW,0.07105300208128754
CHESTER,0.05497084277568527
MEG,0.054055524229187656
GRIFF,0.04584769981107
OTIS,0.045578028372919514
STARR NOVA,0.043015349762255385
8-BIT,0.0405452873805144
DAMIAN,0.03925772625558097
MAX,0.03863483323034741
RICO,0.03731722960505311
SURGE,0.03197499752904879
MEEPLE,0.03046327313219198
COLETTE,0.029613372574645837
EDGAR,0.026883771432390863
BO,0.02677231197838931
BROCK,0.02516068293536205
MORTIS,0.022472323568750396
LUMI,0.01905387811348741
TARA,0.017240662115376
PIERCE,0.01716600028015965
ALLI,0.01699552242308231
STU,0.01647697820087731
EMZ,0.016194863123524094
RUFFS,0.016130511732218574
KENJI,0.013567122056457147
MINA,0.01276184083376649
BOLT,0.01243137332979697
SHADE,0.011980913590658311
BULL,0.008311817688597574
LEON,0.007672036867303164
KIT,0.007182468547813084
CHARLIE,0.0071678917133184625
SPIKE,0.007078830809881814
JANET,0.006376476260025129
MOE,0.006154979482216618
LILY,0.005909484257374279
CORDELIUS,0.005875353132703946
CARL,0.005717496681103659
AMBER,0.005615636605915635
NAJIA,0.005593949120448028
NITA,0.005235039012586563
ASH,0.005194863834589193
SIRIUS,0.004805911226366862
BYRON,0.004337141560972766
COLT,0.004273501234764542
FANG,0.003932545520609866
PENNY,0.0035796794660754396
SANDY,0.0032515229236721394
GENE,0.0031341971826178714
BIBI,0.003061135243870441
CLANCY,0.0027086247218846638
LOU,0.002533347175400561
GUS,0.0024809061244747896
TRUNK,0.0024460639347071585
PEARL,0.0023298047912988385
SHELLY,0.002288385249381196
GIGI,0.002256209553728434
BUSTER,0.0021753258989107194
BUZZ,0.0021378172150282185
GALE,0.001948140600323819
FINX,0.0017822846663789224
ROSA,0.0014960809647162389
MAISIE,0.0012024110795319201
SQUEAK,0.0011942338309129863
BEA,0.0010708640365316804
JAE-YONG,0.0010470433557721777
POCO,0.0010093569056153521
FRANK,0.0009798477040774607
LOLA,0.0009787811064315127
KAZE,0.0009778922750598895
DRACO,0.0009243846264881704
GLOWY,0.0008509671551920907
PIPER,0.0008504338563691167
TICK,0.000729552789828356
MICO,0.0006374698597281883
PAM,0.0006285815460119558
JESSIE,0.00062147089503897
DYNAMIKE,0.0006196932322957234
MELODIE,0.0004582814552089429
BELLE,0.0004437046207143218
BONNIE,0.0004248613956359091
DARRYL,0.00037722003411690336
EL PRIMO,0.0003702871494182421
OLLIE,0.00035126615806550473
DOUG,0.00035126615806550473
ZIGGY,0.0003142907730059779
HANK,0.0003064690569356934
WILLOW,0.00029580308047621453
CHUCK,0.0002773153879464511
SAM,0.0002773153879464511
JACKY,0.0002403400028869243
GRAY,0.0002300295589760947
SPROUT,0.0002033646178273975
LARRY & LAWRIE,0.00019198757627062
MANDY,0.00018487692529763408
BERRY,0.0001628339072813777
BARLEY,0.00014790154023810727
MR. P,0.00009243846264881704
R-T,0.00009243846264881704
GROM,0.000055463077589290225
EVE,0.000055463077589290225
NANI,0.000036975385059526817
JUJU,0.000036975385059526817
ANGELO,0.000036975385059526817
