Brawler,Use Rate
COLT,0.08553052030166813
CROW,0.06086388966400261
BROCK,0.05691381213424896
COLETTE,0.05468896004003876
PIERCE,0.04552497134530207
SURGE,0.040912033723145065
MICO,0.04027784977450625
EDGAR,0.0378108435773955
KAZE,0.0373144031569248
8-BIT,0.03559395707867545
CHUCK,0.034451323042519244
MELODIE,0.03226666656862857
OTIS,0.0274607164403641
GRIFF,0.026493693147859956
MEG,0.021955999766179134
STARR NOVA,0.02090858523303595
PIPER,0.019111056699966534
RICO,0.018613758446135355
CARL,0.014296773333343137
SHADE,0.01400915406233728
BYRON,0.013553889643169508
BULL,0.01287031900249176
LUMI,0.012792256166688297
NANI,0.010654290337132187
MAX,0.009595111232188163
NAJIA,0.009093891454423375
NITA,0.00886877147110946
BERRY,0.007534840595566742
BOLT,0.007489865617953129
BELLE,0.007149305773843509
BIBI,0.007117075749014135
ALLI,0.006656909424929349
MANDY,0.006344412986469639
LILY,0.006244904316654234
EVE,0.005967456498351183
LOLA,0.00583289920837912
AMBER,0.004715877625414318
CHARLIE,0.004336960375329056
BO,0.003795422429621819
SPIKE,0.003644443758177756
DARRYL,0.0034081719411776313
JESSIE,0.002716513157386809
DYNAMIKE,0.0026677392034625096
GIGI,0.0023333067404991584
EMZ,0.0021782839974985578
KIT,0.0021318384484098406
R-T,0.0020954418044010037
CLANCY,0.00160365819360147
BARLEY,0.0015687321210677378
MEEPLE,0.0014936104282144824
CHESTER,0.001487605594691139
RUFFS,0.001455007926992989
BUZZ,0.001444591379044332
SIRIUS,0.0014335620929810482
FANG,0.0014318464262600928
FINX,0.001402557544380928
BEA,0.0013068478508762094
DAMIAN,0.0013056223746469556
BONNIE,0.0011597907033657582
MORTIS,0.000847784455397751
JUJU,0.0007240113562431213
KENJI,0.000665923782976493
MINA,0.0006479092824064628
GLOWY,0.000624502686427716
LOU,0.0005308763025127287
GALE,0.0005129843495656238
PEARL,0.0004941120156351159
HANK,0.00047058287203344376
GROM,0.0004544065858072941
WILLOW,0.0004463184426942193
SPROUT,0.00042095108474866645
SHELLY,0.000407103203358099
EL PRIMO,0.00039043672664024784
TRUNK,0.00038234858352717305
STU,0.0003303883914068136
LARRY & LAWRIE,0.00032254534353958955
GUS,0.00032156496255618654
MOE,0.00030587886682173845
SQUEAK,0.00030587886682173845
MAISIE,0.0002980358189545144
GRAY,0.00026788910371487186
LEON,0.00026249700830615534
DRACO,0.00024215410290054292
JAE-YONG,0.00023014443585385607
SAM,0.00022205629274078126
FRANK,0.0002166641973320647
DOUG,0.00020220357782687036
ROSA,0.00016151776701564554
MR. P,0.0001401944806266301
ZIGGY,0.0001401944806266301
PAM,0.0001401944806266301
TICK,0.00011911628948346544
JANET,0.00011470457505815191
TARA,0.00011470457505815191
JACKY,0.00010686152719092785
POCO,0.00007377366900107634
SANDY,0.000050979811136956404
ASH,0.00003823485835271731
GENE,0.000025489905568478202
BUSTER,0.000025489905568478202
