Brawler,Use Rate
CROW,0.058809488789754845
MEG,0.04950895071404614
GRIFF,0.044368891537762196
MEEPLE,0.04155113836060452
STARR NOVA,0.040384693291736454
PIERCE,0.03828994627272259
SURGE,0.035041345660083455
8-BIT,0.03469042671962142
DAMIAN,0.034026910719871066
COLETTE,0.03375300051205333
MAX,0.03367708669029971
EDGAR,0.03274860225500548
LUMI,0.029519162582953187
CHESTER,0.0290151386029448
KENJI,0.026920756554227834
BROCK,0.026549581762288277
BO,0.025420911119148567
MORTIS,0.020917360140644953
STU,0.020159864289444804
OTIS,0.019056559081939116
SHADE,0.01784960231011599
EMZ,0.017780805409151775
LOU,0.017323132656848723
MINA,0.01522145120219391
PENNY,0.01444187464803177
FINX,0.011401124619472845
JUJU,0.010009857847719064
CORDELIUS,0.009910038471518995
RUFFS,0.009259296432159869
SIRIUS,0.009181922729218682
BOLT,0.00879322936302829
SPIKE,0.008501618095811273
BYRON,0.008481179759185298
NAJIA,0.00813153821476239
FANG,0.00798153542273962
BIBI,0.007618025007034802
BARLEY,0.007562002066461821
BULL,0.0069322458191740065
POCO,0.006689358086592123
NITA,0.00610120845315004
CARL,0.004713408899216737
TRUNK,0.004696255295262795
COLT,0.00456942811709269
LEON,0.0043946073448812364
MICO,0.004248984196421174
RICO,0.004177085047933374
CHARLIE,0.003753901988686651
KIT,0.003701346265934147
HANK,0.003584008315483244
ALLI,0.003491488345221024
DYNAMIKE,0.0032920320779693344
BEA,0.0030374652958868945
BERRY,0.0028615496127847636
LILY,0.0028080814642900288
LARRY & LAWRIE,0.0026912909692844646
GRAY,0.0026126398703041555
AMBER,0.0025239520881593053
GALE,0.002421942890177883
R-T,0.0023923802961295995
WILLOW,0.0022294210585671486
TICK,0.0021274118605857264
DRACO,0.0021069735239597526
CLANCY,0.002085805246739994
GLOWY,0.001973576880445585
ZIGGY,0.0019124443557161101
CHUCK,0.0018938308705745983
SANDY,0.0018739399893939633
ASH,0.0018224791775321365
FRANK,0.001733426425090394
SQUEAK,0.0017160903359880056
BELLE,0.0017148129399488822
DOUG,0.0017129880884644204
GIGI,0.0016879876231272917
BUZZ,0.0016516730785864993
KAZE,0.0015646276627776649
MOE,0.0015567808013944786
TARA,0.0015372548905107357
SHELLY,0.0014270338608492349
SPROUT,0.001348017791572033
BUSTER,0.0012525780589346736
JAE-YONG,0.0011704597421338865
JACKY,0.0011122469797795506
PIPER,0.0010637059302928632
JESSIE,0.0010441800194091204
PAM,0.0009784853659684906
PEARL,0.0008514757026499398
MELODIE,0.0007786641284199086
GUS,0.0006501945839137882
EL PRIMO,0.0006073105740289327
DARRYL,0.0005693536631521243
MAISIE,0.0005689886928552319
LOLA,0.0005065787720866337
ROSA,0.0004934398413985078
MANDY,0.00043650447508329534
ANGELO,0.00036059065332967876
SAM,0.0003233636830466553
GROM,0.0003233636830466553
OLLIE,0.00030365528701446634
NANI,0.00030365528701446634
BONNIE,0.00028467683157606217
JANET,0.00022774146526084976
MR. P,0.0002239092771434797
EVE,0.00020274099992372122
GENE,0.00013284918806882903
