Brawler,Use Rate
PIERCE,0.05513411313127791
BYRON,0.05485297145129459
BROCK,0.05048798282772536
GENE,0.04886550866023667
MAX,0.04481032911514638
PIPER,0.037178095291103185
MEEPLE,0.03398109359922374
SURGE,0.03308150728151922
LEON,0.03256046474044102
MEG,0.03252224154244686
8-BIT,0.029792132861153897
NAJIA,0.029406212677897135
COLETTE,0.026600328183036814
STARR NOVA,0.02448464064493935
DAMIAN,0.023674912371642143
EDGAR,0.023447920222150545
MANDY,0.0225124577449252
CROW,0.018613188612705795
ANGELO,0.018519307073772785
MORTIS,0.018512265958352807
SPROUT,0.018400446339659385
BELLE,0.017377975793315768
MINA,0.01725576214709762
GUS,0.017127680904696154
GRAY,0.0165643916710981
RICO,0.016391884343308693
GRIFF,0.015414007527958257
KIT,0.014820877376627923
OTIS,0.012765709902021203
RUFFS,0.011977775557404874
COLT,0.011540891110155905
BOLT,0.010948263895641281
NANI,0.009965693003344194
CHARLIE,0.008780941511130663
JAE-YONG,0.008446320883076579
PEARL,0.008015974614431872
TICK,0.007629383848754158
BUSTER,0.007409265169077299
SQUEAK,0.00699400700490397
FANG,0.006642621816326134
SPIKE,0.006125099832957919
CORDELIUS,0.0054457998405355
CARL,0.004482508192840728
GIGI,0.0043473858350192894
PENNY,0.004324586032706987
MICO,0.0034176233083720205
DARRYL,0.0032771362911829813
GROM,0.0032607070218697047
ZIGGY,0.003124075853601128
KENJI,0.002979062405070676
EVE,0.0028119197366488716
LILY,0.0026974177882716477
BULL,0.0026645592496450945
STU,0.002396326281265067
R-T,0.002345697308483337
CHESTER,0.0023411708771419243
MR. P,0.002235051209026576
SIRIUS,0.002149887241565917
BEA,0.002084673101128523
OLLIE,0.0020120825540606785
BO,0.001955585985095635
DOUG,0.0019356361580723706
LUMI,0.0019151833942333935
JUJU,0.0018655602950830884
DYNAMIKE,0.0016117448487534879
POCO,0.0015812333486002598
KAZE,0.001339991322663473
BONNIE,0.0012912064515393554
SHADE,0.0012553302920185268
EMZ,0.0012001748878953838
FINX,0.0011701663245578683
BARLEY,0.0010258234584483662
GLOWY,0.0010117412276084148
LOU,0.001010232417161277
LARRY & LAWRIE,0.0009046156858616415
SHELLY,0.0009026039385987912
ROSA,0.0008137517678229072
FRANK,0.0007671462895668775
WILLOW,0.0007651345423040273
ALLI,0.0007525611219112136
GALE,0.0006105652942750367
BERRY,0.0005579245742304564
JANET,0.0005404894312857546
MELODIE,0.0005230542883410529
BIBI,0.0005212101866834401
CHUCK,0.0004533137165622458
MAISIE,0.00040100828772814053
MOE,0.00040100828772814053
BUZZ,0.0003302618423179084
EL PRIMO,0.0003138325730046317
AMBER,0.00029639743005992994
TRUNK,0.00027946522393094075
LOLA,0.00026152714417052643
JESSIE,0.0002266568582811229
TARA,0.00021995103407162223
SAM,0.00020922171533642114
ASH,0.0001394811435576141
DRACO,0.0001394811435576141
HANK,0.0001394811435576141
NITA,0.0001207048357710122
PAM,0.00006974057177880705
CLANCY,0.000052305428834105285
JACKY,0.000052305428834105285
SANDY,0.000034870285889403524
